date,count,Borough
2023-01-01,1,Bronx
2023-01-01,4,Manhattan
2022-12-31,144,Bronx
2022-12-31,691,Brooklyn
2022-12-31,9,EWR
2022-12-31,74415,Manhattan
2022-12-31,8512,Queens
2022-12-31,12,Staten Island
2022-12-31,1292,Unknown
2022-12-30,148,Bronx
2022-12-30,631,Brooklyn
2022-12-30,23,EWR
2022-12-30,79272,Manhattan
2022-12-30,10919,Queens
2022-12-30,10,Staten Island
2022-12-30,1426,Unknown
2022-12-29,179,Bronx
2022-12-29,524,Brooklyn
2022-12-29,27,EWR
2022-12-29,80373,Manhattan
2022-12-29,10906,Queens
2022-12-29,8,Staten Island
2022-12-29,1481,Unknown
2022-12-28,161,Bronx
2022-12-28,500,Brooklyn
2022-12-28,22,EWR
2022-12-28,75954,Manhattan
2022-12-28,10962,Queens
2022-12-28,8,Staten Island
2022-12-28,1458,Unknown
2022-12-27,151,Bronx
2022-12-27,402,Brooklyn
2022-12-27,16,EWR
2022-12-27,72302,Manhattan
2022-12-27,11829,Queens
2022-12-27,13,Staten Island
2022-12-27,1577,Unknown
2022-12-26,61,Bronx
2022-12-26,265,Brooklyn
2022-12-26,9,EWR
2022-12-26,55778,Manhattan
2022-12-26,9900,Queens
2022-12-26,10,Staten Island
2022-12-26,1436,Unknown
2022-12-25,138,Bronx
2022-12-25,330,Brooklyn
2022-12-25,23,EWR
2022-12-25,42045,Manhattan
2022-12-25,6490,Queens
2022-12-25,6,Staten Island
2022-12-25,1077,Unknown
2022-12-24,174,Bronx
2022-12-24,410,Brooklyn
2022-12-24,18,EWR
2022-12-24,67024,Manhattan
2022-12-24,6586,Queens
2022-12-24,13,Staten Island
2022-12-24,1294,Unknown
2022-12-23,173,Bronx
2022-12-23,613,Brooklyn
2022-12-23,12,EWR
2022-12-23,84753,Manhattan
2022-12-23,8045,Queens
2022-12-23,9,Staten Island
2022-12-23,1423,Unknown
2022-12-22,188,Bronx
2022-12-22,740,Brooklyn
2022-12-22,24,EWR
2022-12-22,91488,Manhattan
2022-12-22,8825,Queens
2022-12-22,10,Staten Island
2022-12-22,1575,Unknown
2022-12-21,176,Bronx
2022-12-21,783,Brooklyn
2022-12-21,33,EWR
2022-12-21,101979,Manhattan
2022-12-21,8787,Queens
2022-12-21,13,Staten Island
2022-12-21,1789,Unknown
2022-12-20,194,Bronx
2022-12-20,740,Brooklyn
2022-12-20,29,EWR
2022-12-20,104404,Manhattan
2022-12-20,8792,Queens
2022-12-20,8,Staten Island
2022-12-20,1854,Unknown
2022-12-19,177,Bronx
2022-12-19,779,Brooklyn
2022-12-19,33,EWR
2022-12-19,99212,Manhattan
2022-12-19,10429,Queens
2022-12-19,21,Staten Island
2022-12-19,1809,Unknown
2022-12-18,112,Bronx
2022-12-18,1295,Brooklyn
2022-12-18,52,EWR
2022-12-18,89962,Manhattan
2022-12-18,9886,Queens
2022-12-18,18,Staten Island
2022-12-18,1553,Unknown
2022-12-17,105,Bronx
2022-12-17,1128,Brooklyn
2022-12-17,29,EWR
2022-12-17,113998,Manhattan
2022-12-17,8457,Queens
2022-12-17,12,Staten Island
2022-12-17,1653,Unknown
2022-12-16,186,Bronx
2022-12-16,974,Brooklyn
2022-12-16,47,EWR
2022-12-16,113623,Manhattan
2022-12-16,10977,Queens
2022-12-16,13,Staten Island
2022-12-16,1935,Unknown
2022-12-15,169,Bronx
2022-12-15,931,Brooklyn
2022-12-15,37,EWR
2022-12-15,117406,Manhattan
2022-12-15,10426,Queens
2022-12-15,11,Staten Island
2022-12-15,2195,Unknown
2022-12-14,190,Bronx
2022-12-14,879,Brooklyn
2022-12-14,37,EWR
2022-12-14,116180,Manhattan
2022-12-14,10174,Queens
2022-12-14,18,Staten Island
2022-12-14,1846,Unknown
2022-12-13,198,Bronx
2022-12-13,786,Brooklyn
2022-12-13,22,EWR
2022-12-13,110939,Manhattan
2022-12-13,10256,Queens
2022-12-13,6,Staten Island
2022-12-13,2032,Unknown
2022-12-12,166,Bronx
2022-12-12,625,Brooklyn
2022-12-12,43,EWR
2022-12-12,98204,Manhattan
2022-12-12,11533,Queens
2022-12-12,11,Staten Island
2022-12-12,1792,Unknown
2022-12-11,114,Bronx
2022-12-11,999,Brooklyn
2022-12-11,56,EWR
2022-12-11,93515,Manhattan
2022-12-11,11219,Queens
2022-12-11,15,Staten Island
2022-12-11,1838,Unknown
2022-12-10,114,Bronx
2022-12-10,1294,Brooklyn
2022-12-10,39,EWR
2022-12-10,117960,Manhattan
2022-12-10,8176,Queens
2022-12-10,10,Staten Island
2022-12-10,1685,Unknown
2022-12-09,202,Bronx
2022-12-09,998,Brooklyn
2022-12-09,40,EWR
2022-12-09,120580,Manhattan
2022-12-09,11403,Queens
2022-12-09,11,Staten Island
2022-12-09,2163,Unknown
2022-12-08,180,Bronx
2022-12-08,877,Brooklyn
2022-12-08,44,EWR
2022-12-08,118862,Manhattan
2022-12-08,11894,Queens
2022-12-08,11,Staten Island
2022-12-08,1994,Unknown
2022-12-07,214,Bronx
2022-12-07,793,Brooklyn
2022-12-07,30,EWR
2022-12-07,111184,Manhattan
2022-12-07,11462,Queens
2022-12-07,14,Staten Island
2022-12-07,1892,Unknown
2022-12-06,186,Bronx
2022-12-06,741,Brooklyn
2022-12-06,27,EWR
2022-12-06,106491,Manhattan
2022-12-06,10831,Queens
2022-12-06,16,Staten Island
2022-12-06,1887,Unknown
2022-12-05,181,Bronx
2022-12-05,624,Brooklyn
2022-12-05,29,EWR
2022-12-05,98584,Manhattan
2022-12-05,12241,Queens
2022-12-05,11,Staten Island
2022-12-05,1956,Unknown
2022-12-04,90,Bronx
2022-12-04,963,Brooklyn
2022-12-04,62,EWR
2022-12-04,96754,Manhattan
2022-12-04,11991,Queens
2022-12-04,13,Staten Island
2022-12-04,1746,Unknown
2022-12-03,77,Bronx
2022-12-03,947,Brooklyn
2022-12-03,31,EWR
2022-12-03,117761,Manhattan
2022-12-03,8775,Queens
2022-12-03,12,Staten Island
2022-12-03,1569,Unknown
2022-12-02,157,Bronx
2022-12-02,736,Brooklyn
2022-12-02,24,EWR
2022-12-02,115814,Manhattan
2022-12-02,11314,Queens
2022-12-02,12,Staten Island
2022-12-02,1894,Unknown
2022-12-01,202,Bronx
2022-12-01,710,Brooklyn
2022-12-01,25,EWR
2022-12-01,115262,Manhattan
2022-12-01,12263,Queens
2022-12-01,11,Staten Island
2022-12-01,2111,Unknown
2022-11-30,36,Manhattan
2022-11-30,4,Queens
2022-11-30,1,Unknown
